k,counter,kasar,kastar_h
20,18,1131928,87568
20,19,996062,81052
20,20,1053451,77090
20,21,673379,59234
20,22,566183,56646
20,23,873839,82550
20,24,829983,82658
20,25,1203748,81090
20,26,988476,85180
20,27,941469,82662
20,28,989629,85790
20,29,707371,62838
20,30,1286713,88084
20,31,992915,77922
20,32,1085159,89928
20,33,781933,59741
20,34,933235,84254
20,35,1082958,92491
20,36,1214013,79408
20,37,1110957,73882
20,38,1457606,102510
20,39,961514,96249
20,40,890160,73730
20,41,880696,73811
20,42,825917,80225
20,43,1244987,95290
20,44,1371302,93034
20,45,998125,90541
20,46,954087,91225
20,47,1134635,86593
20,48,989922,77800
20,49,746891,63958
20,50,1259062,83120
20,51,396264,53930
20,52,1076068,74610
20,53,988577,87899
20,54,1041285,72900
20,55,631095,55858
20,56,863835,81722
20,57,1209912,77747
20,58,971954,96527
20,59,836882,73350
20,60,988735,74780
20,61,1094346,100733
20,62,755599,77666
20,63,736154,56244
20,64,885501,68908
20,65,752828,64140
20,66,724445,62630
20,67,1182006,100570
20,68,1330843,102725
20,69,1196040,93872
20,70,899292,74503
20,71,946976,96397
20,72,1284599,105818
20,73,873594,77387
20,74,896419,95073
20,75,1155260,87172
20,76,949013,81709
20,77,913692,86383
20,78,821969,77073
20,79,925586,74273
20,80,980388,83055
20,81,386877,52066
20,82,915761,67596
20,83,1033716,70271
20,84,1666687,106057
20,85,1239706,96439
20,86,704814,73780
20,87,1163333,86553
20,88,1088305,87847
20,89,728762,69567
20,90,1228113,101100
20,91,619748,65581
20,92,941092,88295
20,93,829985,84472
20,94,1306139,80475
20,95,992563,82271
20,96,978399,67275
20,97,779054,66866
20,98,619407,52753
20,99,1081326,79676
20,100,988679,94315
50,1,3631293,130898
50,2,3354490,139208
50,3,3914079,138815
50,4,3316107,137106
50,5,4076128,147875
k,counter,kasar,kastar_h
50,1,3521243,135446
50,2,2932449,127092
50,3,4104290,142294
50,4,3379760,135975
50,5,3701476,130292
50,6,4001237,134735
50,7,3901560,147108
50,8,2939448,116052
50,9,4157310,142205
50,10,3897851,154129
50,11,4339335,149092
50,12,3234966,128094
50,13,3622936,155015
50,14,3661767,130660
50,15,3262118,133587
50,16,3391095,137288
50,17,3890635,124483
50,18,3003559,125694
50,19,3482558,129122
50,20,3162477,130481
50,21,2954560,126445
50,22,4540688,153169
50,23,3535890,140469
50,24,3885321,149695
50,25,3946490,138495
50,26,3782159,138295
50,27,4065709,141580
k,counter,kasar,kastar_h
k,counter,kasar,kastar_h
