63862,307368,306938,722,724,4,12003,12006,20365
start, goal_1, goal_2, distance_start_goal_1, distance_start_goal_2, distance_between_goals, expanded_goal_1, expanded_kastar, expanded_kastar_lookup
388291,213048,214349,715,710,5,68170,68279,86939
295153,209253,208390,364,363,5,69988,69990,87947
121185,66156,63986,165,175,10,4020,4060,10430
218003,123751,123748,360,357,3,4961,4964,9346
203120,335101,333799,653,647,6,31969,31975,75217
259225,173774,173777,347,344,3,61536,61530,83996
170620,153947,153082,253,256,3,16491,18247,20337
342304,172104,173398,424,426,8,9118,9333,11316
92266,329250,330984,680,686,6,30650,30860,47826
start, goal_1, goal_2, distance_start_goal_1, distance_start_goal_2, distance_between_goals, expanded_goal_1, expanded_kastar, expanded_kastar_lookup
69258,290015,287849,583,579,6,29031,29037,46080
296051,75743,75743,598,598,0,0,46067,34084
62664,118499,118500,151,150,1,886,887,949
343531,297425,298290,332,329,3,16782,16803,22641
370449,146982,145682,555,559,4,13700,13841,18435
297417,73025,74324,616,613,3,34462,34507,55485
288911,96610,96181,493,490,5,14835,15034,52963
322718,326298,328034,124,132,8,3769,3790,4955
207969,127930,125769,251,260,9,11505,11514,27634
70870,296410,297273,574,579,5,16118,17266,25510
337109,284439,285302,278,273,5,467,472,484
82578,105041,105903,105,111,6,4052,4058,5473
126748,184899,185763,439,443,4,17885,17938,26613
272151,364898,362730,299,291,8,2982,2990,3012
167703,203106,200939,185,182,7,277,311,311
285272,265112,265115,288,285,3,3747,3750,5285
152861,341486,343222,705,713,8,31613,31621,65131
71792,307640,308936,682,688,6,20531,20781,34573
300821,317138,317999,175,182,7,2121,2167,5157
324472,113524,112225,564,567,3,20699,20702,47206
273868,189268,187973,360,359,7,55323,55295,74595
193782,282445,283744,307,310,3,5501,5552,5549
200135,85371,87100,284,283,7,10498,10506,20066
86855,325883,324151,564,560,4,24846,24850,50013
273314,381320,380456,438,438,4,716,13493,3135
100125,222666,224396,285,287,6,60079,60081,68994
294372,160850,159987,466,465,5,7407,7600,7640
329824,124487,123622,569,570,3,11027,11303,16822
127162,221795,221797,413,411,2,64096,64195,71243
281973,81694,82124,663,659,4,21938,21940,21938
263069,67521,68383,620,614,6,7743,7749,26207
203150,50561,51864,613,614,7,25969,25974,53901
294790,81305,82599,509,511,8,25028,25006,48316
316340,141039,140605,469,469,2,34319,34319,43284
294280,205712,206144,440,440,2,65705,65921,85093
163752,306480,306045,600,597,3,24058,24061,58004
336246,230901,230030,369,376,7,10401,10404,10415
227844,67424,67428,594,598,4,14682,14686,37801
261601,335003,334134,394,389,5,14036,14041,23824
173350,145248,144816,108,110,2,14588,14588,14588
60030,141841,142703,215,221,6,3005,3014,5779
136540,134996,133268,192,200,8,3548,3552,7130
95150,142906,142904,418,420,2,41194,41194,41194
136295,263359,261191,532,530,8,31011,30972,44772
301205,165968,163803,453,458,5,56730,57289,74383
274471,92287,94016,744,743,7,17747,17751,42786
392166,147867,148729,651,653,6,17287,17287,17529
377395,110688,111988,637,635,4,26457,26460,34934
343598,80809,81244,649,650,3,41936,42129,51779
137167,399130,398693,607,610,5,19363,19322,44685
62276,190567,190133,607,607,2,40143,40133,52648
206719,309543,307813,440,438,6,30404,30472,78448
337556,31384,33116,748,744,4,14806,14810,22621
189661,326325,328055,584,586,6,31628,31729,79902
130506,59609,58747,279,285,6,9829,9833,11862
193702,113315,113314,337,336,1,13981,13982,33969
137138,208902,208034,280,280,4,5680,7784,7813
137175,197909,198774,460,463,3,22591,22680,40341
140877,400391,398663,746,746,8,7051,7817,32338
14056,286023,283856,671,664,7,9454,9483,13704
65736,301756,300455,580,575,5,29109,29114,44237
123492,197654,198524,290,296,6,6051,6070,6097
271873,122813,123681,452,448,4,18990,19089,39928
99881,197638,198941,327,326,7,1049,7238,1119
66155,183623,182323,580,578,4,28563,29040,35708
130673,180197,178467,386,380,6,30620,30728,42504
110563,265686,265684,467,465,2,9283,9383,9315
104652,283872,283875,456,453,3,14230,14193,22911
182307,326189,327051,458,456,6,37823,37712,66868
299118,256557,258284,225,226,9,812,822,822
257913,317159,315863,212,206,6,1737,1743,11327
50531,101192,100755,117,120,5,432,282,516
286016,314951,314946,143,148,5,298,303,311
117976,333603,335335,505,509,4,8461,8465,10412
54908,172096,173825,426,433,7,45216,45291,51233
107078,334651,335950,773,776,3,16831,16834,28217
110181,401251,400387,766,766,4,9734,10184,10179
332918,301497,301497,317,317,0,0,6235,19191
277765,362283,360118,278,273,5,1494,1499,7488
78688,248601,248601,649,649,0,0,72265,14983
75326,255572,257304,732,736,4,53167,53139,62658
312105,213225,213229,384,380,4,948,952,952
53470,312118,311686,744,744,2,12265,12325,19562
132414,172081,172085,261,257,4,31873,31873,31873
274334,395184,396053,322,327,5,1027,1032,7969
138436,59201,60502,187,186,5,2734,2737,5384
266144,174167,175896,393,392,7,34078,34445,48827
302131,334056,335789,191,194,5,6616,6616,12055
108481,333205,331042,522,515,7,23898,23946,23904
282210,112294,112292,572,574,2,9093,9139,22160
333673,264046,262749,247,252,5,8721,8724,9349
288749,287352,286484,101,105,4,148,152,250
331573,321916,320617,153,156,3,4591,4751,5415
304606,51810,53539,660,653,7,26754,26758,34882
313873,142764,141034,469,471,6,36045,36077,43752
127186,330303,328572,509,506,5,16535,16694,37101
181625,115381,114517,158,162,4,159,163,442
53966,357058,358792,708,710,6,34584,34589,42904
135721,50951,48790,294,303,9,8546,8551,10885
157269,327726,326858,681,677,4,23905,23909,52601
102923,59722,57992,199,205,6,1385,1391,6460
146413,276440,276007,427,426,1,30971,30972,45434
196351,397797,397795,566,564,2,4349,4351,4355
69133,196655,195358,508,503,5,38088,38214,52957
92470,57509,59242,193,190,5,523,527,538
308689,354495,353195,198,196,4,10580,10628,18455
261834,338772,339204,314,316,2,2096,2098,18762
152074,339617,339182,487,484,3,35877,35731,54141
286126,107491,109219,651,651,8,12729,12967,13450
203105,305214,304782,589,589,2,31896,31940,74520
87238,69135,68699,125,123,4,9784,9784,19824
191929,199401,200700,128,131,3,25270,25286,35882
199756,292086,292522,314,318,4,29315,29319,78574
174657,209688,208387,123,122,5,1173,1176,1176
254475,359236,360098,267,273,6,3501,4032,7809
131796,365282,366143,638,635,7,24952,25031,26923
141276,51900,52335,462,463,3,9005,9010,9010
137986,349163,347861,615,615,6,8756,9218,34659
214545,159001,156832,248,257,9,6874,6945,21579
136078,174254,173823,160,161,3,9074,9136,12253
211410,88648,89081,494,493,1,22174,22175,42077
201357,191050,190615,109,108,3,109,194,194
344396,81046,81910,694,694,4,21816,21862,50201
267067,360579,362315,232,232,8,13432,13443,20830
193645,216075,215204,138,141,7,139,144,194
237048,183284,185013,196,195,7,34687,34689,53167
60393,53127,52258,112,111,5,8444,8451,24391
330700,68290,68286,618,622,4,25918,25918,25918
