start, goal, distance, forward, backward, path_forward, path_backward
344161,187269,508,6735,3489,521,521
101441,165520,153,8109,1440,222,222
308463,111409,494,22062,14260,585,585
366198,209771,475,500,4509,476,476
154666,292224,614,22097,38066,721,721
86632,225351,479,15665,16151,496,496
268656,317528,170,1189,193,171,171
239492,262123,167,6784,2514,268,268
198918,137147,291,21293,31130,530,530
2373,322519,898,14719,9023,911,911
175571,256836,327,18665,9139,520,520
77435,340111,762,24812,29099,815,815
262490,59089,579,10142,29768,668,668
295638,134544,390,29125,14722,653,653
158539,248749,354,20947,9170,479,479
102886,338971,645,16447,23077,768,768
107500,78276,288,10857,12070,363,363
287401,72162,535,29932,26053,716,716
384319,330567,184,3410,4797,253,253
284224,72599,601,17638,10301,620,620
301738,264820,198,5716,1101,221,221
233496,50503,589,28733,70992,846,846
107905,339717,692,40572,24294,741,741
308946,172351,515,46952,37047,758,758
338848,357947,91,333,966,102,102
138274,273123,497,17741,13186,570,570
163811,101842,193,1939,9002,226,226
226093,112375,424,10885,59686,671,671
377410,63528,768,32794,35638,925,925
196317,378693,504,54875,74948,1043,1043
294822,271441,55,986,463,82,82
135629,263067,430,6506,6758,449,449
278166,105429,429,3240,5698,436,436
171942,89713,231,3989,12584,308,308
71308,296779,643,10369,13623,650,650
386122,69131,767,40365,29830,948,948
334199,223079,528,6014,1281,529,529
122281,185810,269,18929,13725,358,358
122271,187189,182,14167,8916,291,291
105340,82781,95,127,248,96,96
173228,375709,737,33623,65086,968,968
333986,164148,494,35893,36838,767,767
299857,121424,449,9685,10557,488,488
213934,319274,364,36228,62596,893,893
29653,365344,891,15148,14856,906,906
182773,55297,554,21657,35594,631,631
146009,88975,254,952,615,255,255
82605,148591,416,726,10279,417,417
370886,95324,810,28102,58976,905,905
381322,319813,165,166,166,166,166
128746,211479,221,16692,11302,354,354
141477,129125,256,5220,6359,285,285
165888,316710,486,33345,33955,687,687
334233,156367,746,41823,23613,861,861
175394,281737,503,36331,54158,758,758
106683,341132,737,13873,11297,744,744
76937,91655,38,76,39,39,39
145092,295573,577,28352,26742,640,640
124837,186627,272,8321,6941,295,295
214368,131754,280,11375,8447,329,329
185044,97476,304,6369,10590,323,323
82742,292175,777,23317,16320,784,784
191064,197970,38,39,39,39,39
164175,51449,548,12069,3065,549,549
272879,153755,324,23866,43279,681,681
331403,298992,139,169,213,140,140
246469,295971,254,321,2293,255,255
61466,396935,881,31744,36454,1088,1088
173726,253357,225,58200,35554,828,828
158989,148117,72,303,74,73,73
114553,206987,442,17229,27457,487,487
47478,51909,111,2201,1652,154,154
286594,330109,319,426,320,320,320
190534,284596,318,37553,45343,791,791
382247,131124,597,42030,19800,904,904
383065,258283,366,378,2252,367,367
160673,45672,443,1372,2553,444,444
197454,291153,387,33476,51353,768,768
84303,213639,430,39909,21091,613,613
306261,211488,273,74198,38077,892,892
119797,86389,144,6366,2668,189,189
109243,297713,550,9687,17664,563,563
203172,136192,290,18582,19029,409,409
93010,376586,694,29727,53884,943,943
233826,363958,532,59760,68964,1115,1115
256541,64867,588,14818,10799,601,601
140202,338743,665,11961,38432,740,740
291765,100672,581,8863,11088,606,606
103181,145138,141,622,213,142,142
33973,289601,748,14232,9921,759,759
327736,99057,583,28467,24333,844,844
313761,26612,733,10232,15003,748,748
330513,207538,287,65043,37998,882,882
51382,283926,560,28285,26201,743,743
254371,95324,503,3461,15765,518,518
283893,173328,405,57296,31947,698,698
376084,322407,139,2676,2990,194,194
263651,321849,392,1306,4809,393,393
122215,31822,313,495,1148,314,314
295142,314960,146,147,478,147,147
291650,298569,25,26,26,26,26
181194,66026,276,277,572,277,277
123126,83846,214,13144,1745,265,265
182362,381713,631,59140,72185,1046,1046
325875,169885,470,67033,37961,813,813
102839,332486,687,12841,14602,716,716
69681,228687,706,76641,22827,943,943
360973,86948,697,48967,25866,882,882
288700,367923,199,5178,4976,258,258
93730,347430,624,7761,9763,637,637
211374,111963,409,25385,28730,514,514
321550,284812,152,296,534,153,153
289942,118726,576,13291,12809,583,583
305462,387857,315,2076,11140,332,332
264652,317141,217,236,1192,218,218
288649,317243,82,416,83,83,83
121957,177570,373,22739,8415,436,436
119182,128382,128,129,232,129,129
195829,372257,604,33362,70546,997,997
214027,150751,204,6201,3201,223,223
108785,148561,152,1403,337,153,153
331180,85636,600,30741,30216,867,867
103326,54469,185,10056,14896,302,302
182891,175995,48,24438,20681,427,427
204106,124457,207,11778,20817,376,376
286026,197582,316,60876,29379,731,731
283479,287286,99,100,191,100,100
331826,262278,326,15326,1377,345,345
309542,261274,316,2887,599,317,317
260399,114178,471,3920,8803,478,478
271235,286981,194,263,744,195,195
189800,271561,265,44497,56215,814,814
254812,332920,348,3055,937,349,349
335966,200973,641,69675,32132,1058,1058
371340,116319,605,25610,26965,762,762
316274,178573,325,66112,32427,780,780
57473,176788,469,35268,16406,566,566
317513,201951,316,71334,37668,891,891
64287,272100,507,7050,2941,520,520
305634,60507,615,25244,29104,848,848
197664,47139,507,5446,14628,526,526
89403,139620,127,207,128,128,128
119759,214966,273,3377,4040,282,282
393938,127479,779,22091,10104,786,786
265950,170173,305,41052,46254,810,810
313777,114468,589,11516,10713,596,596
378251,279394,361,3523,23151,442,442
344527,274746,229,232,1119,230,230
145618,340570,552,26973,32729,659,659
125776,289903,399,8151,4317,432,432
166830,326331,525,28646,59876,774,774
150772,133892,46,47,47,47,47
243413,274890,373,9745,11789,430,430
115270,290492,694,16247,16191,701,701
301118,198940,246,3660,929,269,269
216090,315997,547,39856,64240,972,972
321119,262749,220,6565,1174,245,245
125379,139328,125,146,643,126,126
262628,108001,403,3377,6062,410,410
179338,290382,452,31305,63731,771,771
119709,108360,117,1383,901,120,120
202229,65320,669,24604,27341,692,692
66132,355814,674,31962,31959,899,899
306434,381288,228,3879,9763,275,275
191834,284215,365,34221,46797,740,740
321020,63161,805,19323,15930,812,812
92853,330960,593,10038,12937,628,628
188110,195939,53,54,54,54,54
193339,149508,199,5526,2196,276,276
98138,264741,487,7172,4744,494,494
53984,79073,83,84,84,84,84
111948,300006,570,10824,16180,631,631
123528,245575,341,56126,14900,674,674
360500,180764,456,11076,21432,539,539
59250,156083,383,2566,3079,384,384
390881,386957,36,37,37,37,37
318544,210944,464,74123,32288,927,927
272101,108878,395,3349,5570,420,420
132193,63971,350,7606,2321,351,351
103606,347992,738,15090,21511,745,745
182831,307325,510,37094,64619,849,849
167275,124455,146,4801,14283,263,263
201467,73519,516,21592,38158,617,617
202658,90339,521,49278,22047,634,634
260821,196373,218,310,968,219,219
310372,72205,567,25479,29090,814,814
63603,110089,386,16241,11646,447,447
236951,395619,556,1487,4971,557,557
284232,269938,38,39,39,39,39
260969,332305,274,10151,19267,323,323
197217,173667,222,16903,28328,467,467
157696,277644,284,39109,25165,633,633
336273,412963,226,6687,288,253,253
179847,274903,448,47063,65551,869,869
259700,225165,407,64824,55495,982,982
185486,3664,458,20007,27487,631,631
179901,81773,390,12952,1240,407,407
285442,51373,725,26986,15864,762,762
100674,318506,536,18119,8979,605,605
310840,107685,547,23821,20542,742,742
158081,54337,416,1340,2409,417,417
89268,366193,877,24151,27968,884,884
285538,113954,512,13834,27836,561,561
57521,129207,358,2545,6211,359,359
117088,118488,104,1366,908,127,127
92531,272551,524,12665,8696,553,553
225663,56701,732,15430,76382,981,981
123984,112452,186,2255,292,187,187
107462,282021,463,33026,15845,602,602
139692,131384,100,1377,2109,129,129
256139,140442,353,14418,68049,680,680
150437,97509,224,899,11899,245,245
84467,192048,445,2338,1180,446,446
264895,166814,449,48420,51945,762,762
142355,313710,509,18406,31226,660,660
304583,310804,173,8466,2588,250,250
165961,147264,121,261,2222,124,124
266629,291793,108,1131,6479,191,191
55191,81824,281,21209,18306,522,522
185976,90989,379,1114,1677,380,380
153387,172110,147,6257,4043,242,242
289488,184607,337,61872,29231,722,722
369662,149890,748,45817,24827,833,833
343224,120543,633,16258,9384,640,640
257842,287317,99,693,1559,104,104
254415,393058,403,8126,22914,494,494
376589,309922,169,15890,7422,346,346
68694,304136,654,11075,26610,689,689
160842,283860,330,2429,3078,333,333
309947,269274,123,124,470,124,124
328993,264302,323,1446,405,324,324
50507,343109,782,12067,35566,819,819
134459,105790,157,165,838,158,158
284677,299992,195,209,461,196,196
121004,137852,78,109,115,79,79
87938,306740,642,30335,17635,705,705
326645,158560,469,32554,32029,676,676
320117,194051,354,63696,38335,887,887
319909,68755,594,43184,29413,897,897
124512,39604,236,246,2242,237,237
100540,314931,551,34204,19730,686,686
315596,113217,635,12343,10834,648,648
177190,56560,456,27334,18578,529,529
141869,210171,270,29243,23316,521,521
264842,46645,539,7196,24587,690,690
53197,55299,68,879,1141,95,95
109339,250044,345,2449,2284,352,352
120484,103573,63,64,64,64,64
104479,201888,241,12809,9496,338,338
213628,83128,568,45031,45137,777,777
112018,337012,686,11790,22412,693,693
281211,71793,638,12214,16301,667,667
188571,237056,123,149,124,124,124
343604,139537,595,30753,29122,674,674
385685,202727,654,73641,34692,1079,1079
162409,151310,185,9748,3057,276,276
119371,139116,219,248,1118,220,220
48781,295925,670,14155,23369,701,701
276921,299423,66,326,875,77,77
169408,48023,569,14312,29944,616,616
347425,319251,94,118,214,95,95
312320,145490,510,55191,37513,881,881
218753,75714,615,15040,76556,896,896
294340,272257,51,2981,980,132,132
109382,269681,459,31211,18801,676,676
93570,86362,170,4964,2358,237,237
287794,198318,484,58733,31678,815,815
185450,264459,385,52718,61868,836,836
186641,322293,436,37379,50790,839,839
168565,70521,474,14917,36978,573,573
231421,335371,270,8590,4953,309,309
368321,87294,659,56846,30780,894,894
107520,144223,187,3725,669,192,192
26621,209162,607,24972,14687,636,636
168507,151743,162,9830,3501,255,255
78733,151573,506,1205,19793,509,509
195758,131262,170,11949,7401,285,285
125260,315928,588,6465,12664,595,595
267275,92477,538,44481,27061,743,743
160409,96885,274,3170,587,275,275
145926,184943,137,249,898,138,138
212657,293765,324,35548,70457,837,837
191895,188443,20,21,21,21,21
319398,149420,634,36406,29243,717,717
397802,191834,768,65838,34596,1069,1069
206203,73956,557,23447,40214,654,654
308247,130051,644,13982,6177,651,651
25760,51731,69,70,70,70,70
207549,101164,379,18558,26284,506,506
140875,274290,359,8104,9617,428,428
298954,87240,512,5885,8483,527,527
280105,280291,248,1829,3627,275,275
100215,295044,471,7215,6027,502,502
292580,118534,422,20466,18627,627,627
392189,97034,963,32814,25400,970,970
283482,204484,374,66857,33363,811,811
128718,310237,511,11826,15755,554,554
309814,182495,311,5919,5573,350,350
