start, goal, distance, forward, backward, path_forward, path_backward
210089,126323,430,23951,31755,549,549
225698,362706,496,1174,18072,499,499
84504,50933,281,21039,15982,504,504
167691,140498,149,7235,10727,260,260
196592,115973,539,16255,22445,562,562
70784,112487,231,5081,9158,282,282
158247,264847,328,2279,2541,335,335
301739,358398,195,10948,10109,318,318
81046,396057,947,22674,30069,954,954
121952,122236,150,5162,722,193,193
194567,186270,89,545,1788,102,102
80433,129544,365,5696,11987,374,374
177574,131119,417,20328,25783,520,520
57035,97507,324,14476,14938,443,443
235221,302452,271,504,2267,272,272
61783,140614,207,1060,215,208,208
317682,101101,581,8013,9173,598,598
187993,191168,151,26480,21626,502,502
52264,94457,339,14711,15112,472,472
124566,144396,134,135,135,135,135
302076,275996,160,779,220,161,161
293055,311099,184,1587,4212,207,207
72672,146397,489,802,11108,490,490
107992,331860,524,7262,10761,575,575
285916,300426,254,265,2031,259,259
27919,137957,310,2515,1050,311,311
337906,177547,519,48423,34931,830,830
113788,180290,334,31789,11457,501,501
221872,257700,194,61589,70275,1041,1041
130445,209238,195,8704,9220,292,292
68756,319493,609,30642,42348,912,912
90281,77014,187,6982,19971,358,358
95131,76049,74,75,167,75,75
364466,204018,608,74243,34690,1039,1039
40035,116731,232,5171,1561,263,263
291506,363580,362,2870,22425,415,415
264918,314068,326,1162,13818,343,343
128868,325861,477,24375,22457,628,628
383519,162842,789,52249,32777,934,934
136226,192800,280,23655,21328,427,427
218854,105313,357,10065,15087,388,388
212185,203624,119,2447,2426,154,154
201097,326328,383,30309,76975,916,916
112484,117247,11,12,12,12,12
187569,205399,118,124,485,119,119
194634,123997,221,229,809,222,222
67014,100794,84,3352,1554,149,149
93847,279426,607,11486,9685,614,614
125393,52592,225,897,2085,226,226
124381,180719,178,8404,4613,241,241
278788,116225,563,9861,21214,604,604
322502,265116,362,3715,476,363,363
337878,85207,785,31956,12779,794,794
115529,155109,348,469,3230,349,349
148175,140860,63,106,64,64,64
108000,376088,680,34319,16385,763,763
76177,80522,25,1487,846,96,96
117129,283358,427,5146,4551,434,434
181509,287426,509,31448,65781,836,836
104572,301582,460,10272,6838,513,513
197595,183308,35,36,36,36,36
169812,278515,271,37619,29656,664,664
214090,110478,364,2743,20504,395,395
127414,12762,358,534,1365,359,359
386549,327643,154,1788,738,161,161
114908,63580,318,7936,10860,357,357
347511,53574,749,31027,37579,880,880
263599,45400,537,23736,40733,902,902
324608,207938,462,72555,31363,911,911
376512,326662,170,3790,7248,265,265
289632,271412,76,264,266,77,77
194492,329381,537,32837,72945,924,924
187605,262126,217,34471,46220,658,658
199672,101425,271,11947,14509,368,368
68801,271004,475,39732,25571,896,896
120674,184943,397,28798,14187,484,484
93826,323579,701,12457,19527,708,708
84267,150035,200,6614,13952,295,295
186715,264663,188,46247,52724,809,809
79226,104908,358,14638,27475,491,491
