map,i,start,goal_near,goal_far,closed,forward,backward
arena2.map,29,44096,45958,23234,4205,23,94
arena2.map,30,29904,11653,16574,3868,1604,2938
arena2.map,31,24377,23459,46761,79,3444,254
arena2.map,32,33355,15975,29884,2131,155,102
arena2.map,33,52769,25669,18943,8846,8,542
arena2.map,34,17827,31651,32774,1984,10,10
arena2.map,35,20881,22062,43132,1571,1759,1005
arena2.map,36,43096,47596,49681,36,9718,5717
arena2.map,37,38688,42119,42536,1883,56,107
arena2.map,38,28888,47643,25083,763,1861,1661
arena2.map,39,4058,10798,56170,101,5050,2792
arena2.map,40,44297,23498,27186,575,22,22
arena2.map,41,24642,29637,2343,82,1484,332
arena2.map,42,24840,27743,48285,104,7264,1466
arena2.map,43,28558,30590,33835,73,294,2590
arena2.map,44,10648,20085,44295,2746,328,681
arena2.map,45,24274,20060,10942,17,3626,2316
arena2.map,46,45627,27695,19853,3281,330,4450
arena2.map,47,43720,43914,24657,89,142,808
arena2.map,48,28898,23508,27927,87,1045,1074
arena2.map,49,25480,19024,26791,31,633,110
arena2.map,50,27384,24610,48453,47,3854,2762
arena2.map,51,36994,28525,25636,501,347,4518
arena2.map,52,28880,11778,42148,218,162,120
arena2.map,53,14497,27101,36443,2520,54,79
arena2.map,54,30793,30774,28147,20,108,126
arena2.map,55,19930,15723,30106,24,2221,6243
arena2.map,56,14506,40581,52814,6137,3319,2553
arena2.map,57,29420,44530,16980,1248,245,123
arena2.map,58,42850,19822,16410,4499,890,3706
arena2.map,59,37476,23958,33373,91,537,3730
arena2.map,60,48713,50806,27543,9917,808,437
arena2.map,61,34136,22344,39315,54,2731,1342
arena2.map,62,24514,16382,19231,56,1359,876
arena2.map,63,14444,19007,42989,84,250,1368
arena2.map,64,24092,28862,33278,25,247,113
arena2.map,65,42603,48482,37739,44,120,112
arena2.map,66,40929,15573,16010,1160,999,3278
arena2.map,67,30564,41014,18133,255,868,134
arena2.map,68,43640,48463,43827,64,7323,5298
arena2.map,69,40704,41443,36938,3886,9,1864
arena2.map,70,44256,32513,24244,162,158,1924
arena2.map,71,47368,38489,14705,2941,1763,4485
arena2.map,72,53922,37011,30677,4228,873,8754
arena2.map,73,1816,23153,55873,4548,3784,2564
arena2.map,74,28568,44905,31005,3471,365,1329
arena2.map,75,2928,17390,39539,5397,61,39
arena2.map,76,16835,12494,37167,2447,4059,7021
arena2.map,77,20146,20707,56164,4,2109,2055
arena2.map,78,15628,29110,28581,1491,11,57
arena2.map,79,27106,26234,46179,1386,1087,1861
arena2.map,80,39425,33614,28361,2098,1460,4111
arena2.map,81,38592,29584,22454,54,1465,5706
arena2.map,82,25761,24846,40708,76,2170,472
arena2.map,83,23121,41963,40578,280,1523,65
arena2.map,84,27357,28172,9084,32,166,996
arena2.map,85,25713,34692,56174,46,4418,2182
arena2.map,86,36049,45076,43724,80,53,304
arena2.map,87,52800,15994,35209,417,5868,8768
arena2.map,88,28080,33040,18156,267,894,1143
arena2.map,89,17305,17603,51079,24,6121,2085
arena2.map,90,29065,39465,20694,41,2221,448
arena2.map,91,36907,38133,22971,435,702,6891
arena2.map,92,25443,19286,34735,857,49,33
arena2.map,93,12207,30860,44116,230,163,1392
